STRUKTUR,WELL_NAME,DEPTH,GR,NPHI,RHOB,RT,MARKER,ZONE,CALI,DT,HLLD,HLLS,LLS,MSFL,PEF,RHOZ,RXOZ,SP,DRHO
BNG,BNG-010,1597.9024,76.658,0.243,2.3633999,1.1648,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1598.0548,73.9234,0.243,2.3633999,1.1648,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1598.2072,73.7299,0.243,2.3665,1.1648,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1598.3596,73.2935,0.244,2.3345999,1.0993,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1598.512,73.2866,0.252,2.3291999999999997,1.0977,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1598.6644,71.4826,0.259,2.2873999,1.0647,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1598.8168,73.1911,0.273,2.3136001,1.0703,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1598.9692,74.744,0.279,2.3196999999999997,1.0405,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1599.1216,74.4227,0.278,2.2701001,1.0417,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1599.274,75.3315,0.257,2.2992,1.0457,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1599.4264,77.2697,0.249,2.3887997999999997,1.0146,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1599.5788,77.2275,0.251,2.383,0.9805,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1599.7312,76.9979,0.265,2.3533999,0.9503,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1599.8836,77.485,0.273,2.3825,0.9165,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1600.036,77.5463,0.293,2.3951001,0.9195,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1600.1884,77.1183,0.312,2.3905,0.9052,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1600.3408,77.3275,0.329,2.3724000999999997,0.8901,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1600.4932,77.5916,0.321,2.3295,0.8761,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1600.6456,78.5732,0.314,2.3168,0.863,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1600.798,78.6713,0.298,2.3455,0.8666,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1600.9504,79.1523,0.3,2.3710999000000004,0.8716,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1601.1028,80.598,0.283,2.386,0.9137,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1601.2552,82.1029,0.275,2.3805,0.9632,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1601.4076,82.7122,0.273,2.3865,1.0086,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1601.56,80.487,0.266,2.3620999,1.0185,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1601.7124,79.8516,0.251,2.3886001,1.0227,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1601.8648,80.3171,0.246,2.3984001,1.0267,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1602.0172,79.9197,0.247,2.3805,1.0731,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1602.1696,78.5328,0.239,2.354,1.0807,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1602.322,77.0783,0.234,2.3317002000000002,1.0856,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1602.4744,77.4398,0.231,2.3197997999999997,1.0915,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1602.6268,78.4168,0.235,2.3125,1.0976,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1602.7792,79.8872,0.243,2.3323,1.0906,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1602.9316,83.7199,0.258,2.2915,1.0826,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1603.084,83.1295,0.277,2.2935,1.0737,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1603.2364,81.2385,0.272,2.3097,1.0822,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1603.3888,78.3522,0.255,2.3712002,1.1052,ABF_1,,,,,,,,,,,,
BNG,BNG-010,1603.5412,75.4186,0.249,2.4055,1.1292,ABF_1,,,,,,,,,,,,
