DEPTH,CALI,DT,GR_CAL,HDRA,PEFZ,RHOZ,RLA3,RLA5,RXOZ,SP,TENS,TNPH,CALI_TR,DT_TR,GR_CAL_TR,HDRA_TR,PEFZ_TR,RHOZ_TR,RLA3_TR,RLA5_TR,RXOZ_TR,SP_TR,TENS_TR,TNPH_TR,CALI_TR_TR,DT_TR_TR,GR_CAL_TR_TR,HDRA_TR_TR,PEFZ_TR_TR,RHOZ_TR_TR,RLA3_TR_TR,RLA5_TR_TR,RXOZ_TR_TR,SP_TR_TR,TENS_TR_TR,TNPH_TR_TR,GR_CAL_TR_SM,GR,NPHI,RHOB,RT,MISSING_FLAG
549.8592,328.8192,,,,,,,,,,857.0627,,328.8192,,,,,,,,,,857.0627,,328.8192,,,,,,,,,,857.0627,,,,,,,1.0
550.0116,327.1411,,,,,,,,,,857.2896,,327.1411,,,,,,,,,,857.2896,,327.1411,,,,,,,,,,857.2896,,,,,,,1.0
550.164,325.4634,,,,,,,,,,850.9393,,325.4634,,,,,,,,,,850.9393,,325.4634,,,,,,,,,,850.9393,,,,,,,1.0
550.3164,324.9038,,,,,,,,,,839.8264,,324.9038,,,,,,,,,,839.8264,,324.9038,,,,,,,,,,839.8264,,,,,,,1.0
550.4688,332.1754,,,,,,,,,,841.1871,,332.1754,,,,,,,,,,841.1871,,332.1754,,,,,,,,,,841.1871,,,,,,,1.0
550.6212,335.8109,,,,,,,,,,855.4752,,335.8109,,,,,,,,,,855.4752,,335.8109,,,,,,,,,,855.4752,,,,,,,1.0
550.7736,333.294,,,,,,,,,,852.5269,,333.294,,,,,,,,,,852.5269,,333.294,,,,,,,,,,852.5269,,,,,,,1.0
550.926,333.294,,,,,,,,,,836.4244,,333.294,,,,,,,,,,836.4244,,333.294,,,,,,,,,,836.4244,,,,,,,1.0
551.0784,333.8533,367.1721,77.2581,138.38,6.3058,2.0108699999999997,1.6445,1.1088,1.8896,-479.275,850.9393,0.52509,333.8533,367.1721,77.2581,138.38,6.3058,2010.87,1.6445,1.1088,1.8896,-479.275,850.9393,0.52509,333.8533,367.1721,77.2581,138.38,6.3058,2010.87,1.6445,1.1088,1.8896,-479.275,850.9393,0.52509,,77.2581,0.52509,2.0108699999999997,1.1088,0.0
551.2308,336.0905,370.312,75.291,133.87,6.5685,2.02601,1.7621,1.2309,1.8898,-472.8921,853.2073,0.50454,336.0905,370.312,75.291,133.87,6.5685,2026.01,1.7621,1.2309,1.8898,-472.8921,853.2073,0.50454,336.0905,370.312,75.291,133.87,6.5685,2026.01,1.7621,1.2309,1.8898,-472.8921,853.2073,0.50454,,75.291,0.50454,2.02601,1.2309,0.0
