DEPTH,DT,GR_CAL,TENS
1463.9544,,,296.7573
1464.1068,,,299.3482
1464.2592,,,298.2701
1464.4116,,,296.5791
1464.564,,,297.9761
1464.7164,,,299.4854
1464.8688,,,299.3232
1465.0212,,,297.3881
1465.1736,,,297.5057
1465.326,,,299.5442
1465.4784,,,300.339
1465.6308,,,298.4857
1465.7832,,,297.9762
1465.9356,,,298.0938
1466.088,,,299.0934
1466.2404,,,301.6415
1466.3928,,,301.2299
1466.5452,,,301.3083
1466.6976,,,304.1309
1466.85,,,302.0531
1467.0024,,,300.2891
1467.1548,,,299.2893
1467.3072,,,299.4266
1467.4596,,,301.0143
1467.612,,,298.7601
1467.7644,,,299.7597
1467.9168,,,302.7196
1468.0692,,,303.1507
1468.2216,,,300.5635
1468.374,,,300.1127
1468.5264,,,300.4458
1468.6788,,,302.0923
1468.8312,,,301.9747
1468.9836,,,301.1711
1469.136,,,301.9747
1469.2884,,,300.143
1469.4408,,,298.721
1469.5932,,,299.8578
1469.7456,,,299.1522
1469.898,,,298.8778
1470.0504,,,298.2506
1470.2028,,,299.1094
1470.3552,,,299.2698
1470.5076,,,298.1329
1470.66,,,297.3881
1470.8124,,,297.5057
1470.9648,,,300.0146
1471.1172,,,302.1386
1471.2696,,,302.8372
1471.422,,,302.495
1471.5744,,,301.1123
1471.7268,,,297.3489
1471.8792,,,297.8978
1472.0316,,,299.3286
1472.184,,,300.4458
1472.3364,,,302.4255
1472.4888,,,303.3147
1472.6412,,,302.4059
1472.7936,,,299.733
1472.946,,,298.9562
1473.0984,,,301.0161
1473.2508,,,301.8179
1473.4032,,,303.3681
1473.5556,,,302.4452
1473.708,,,300.5528
1473.8604,,,296.7805
1474.0128,,,297.5948
1474.1652,,,300.5242
1474.3176,,,301.8357
1474.47,,,301.5827
1474.6224,,,300.1714
1474.7748,,,299.4658
1474.9272,,,299.5015
1475.0796,,,300.0538
1475.232,,,299.701
1475.3844,,,301.6397
1475.5368,,,302.6803
1475.6892,,,301.7644
1475.8416,,,300.6026
1475.994,,,300.6062
1476.1464,,,301.2299
1476.2988,,,303.4644
1476.4512,,,303.6996
1476.6036,,,302.5235
1476.756,,,303.2684
1476.9084,,,303.5037
1477.0608,,,304.5443
1477.2132,,,303.1507
1477.3656,,,299.309
1477.518,,,300.6026
1477.6704,,,302.0923
1477.8228,,,301.7787
1477.9752,,,302.2295
1478.1276,,,303.4751
1478.28,,,305.0128
1478.4324,,,302.994
1478.5848,,,299.8578
1478.7372,,,301.3474
1478.8896,,,302.6411
1479.042,,,302.6376
1479.1944,,,301.4063
1479.3468,,,302.3864
1479.4992,,,301.6397
1479.6516,,,300.2891
1479.804,,,299.5639
1479.9564,,,300.1519
1480.1088,,,300.7202
1480.2612,,,302.8693
1480.4136,,,304.4444
1480.566,,,302.8372
1480.7184,,,300.0004
1480.8708,,,298.5446
1481.0232,,,301.7644
1481.1756,,,304.3304
1481.328,,,303.6212
1481.4804,,,304.6013
1481.6328,,,304.0275
1481.7852,,,300.8575
1481.9376,,,297.6661
1482.09,,,297.8978
1482.2424,,,298.8778
1482.3948,,,300.1323
1482.5472,,,302.3168
1482.6996,,,303.7388
1482.852,,,301.8179
1483.0044,,,298.361
1483.1568,,,293.8991
1483.3092,,,294.8864
1483.4616,,,298.917
1483.614,,,301.0339
1483.7664,,,303.2291
1483.9188,,,303.3325
1484.0712,,,298.7014
1484.2236,,,295.8397
1484.376,,,295.428
1484.5284,,,299.6083
1484.6808,,,304.1505
1484.8332,,,301.916
1484.9856,,,299.7206
1485.138,,,298.165
1485.2904,,,299.6619
1485.4428,,,301.6219
1485.5952,,,301.9551
1485.7476,,,302.8176
1485.9,,,303.8564
1486.0524,,,303.9544
1486.2048,,,301.1711
1486.3572,,,296.8393
1486.5096,,,297.7409
1486.662,,,301.269
1486.8144,,,303.4055
1486.9668,,,303.7388
1487.1192,,,304.072
1487.2716,,,302.8763
1487.424,,,299.6226
1487.5764,,,297.4272
1487.7288,,,295.7417
1487.8812,,,299.9363
1488.0336,,,303.2684
1488.186,,,307.9726
1488.3384,,,308.149
1488.4908,,,303.6604
1488.6432,,,298.1526
1488.7956,,,299.0346
1488.948,,,303.4251
1489.1004,,,306.5614
1489.2528,,,306.5221
1489.4052,,,305.5225
1489.5576,,,304.562
1489.71,,,304.1505
1489.8624,,,303.386
1490.0148,,,301.5631
1490.1672,,,300.9555
1490.3196,,,302.5307
1490.472,,,306.2086
1490.6244,,,308.7566
1490.7768,,,305.7916
1490.9292,,,301.9551
1491.0816,,,300.3478
1491.234,,,301.5684
1491.3864,,,303.9152
1491.5388,,,305.0128
1491.6912,,,305.845
1491.8436,,,303.1704
1491.996,,,300.3282
1492.1484,,,300.4655
1492.3008,,,300.8201
1492.4532,,,301.9943
1492.6056,,,302.7802
1492.758,,,302.2491
1492.9104,,,300.4102
1493.0628,,,300.9555
1493.2152,,,302.0923
1493.3676,,,303.7388
1493.52,,,302.6019
1493.6724,,,303.4251
1493.8248,,,304.9184
1493.9772,,,307.4237
1494.1296,,,306.3083
1494.282,,,301.7983
1494.4344,,,301.8179
1494.5868,,,301.7003
1494.7392,,,303.7388
1494.8916,,,304.5033
1495.044,,,304.4053
1495.1964,,,305.3853
1495.3488,,,305.0717
1495.5012,,,301.1515
1495.6536,,,299.9166
1495.806,,,299.407
1495.9584,,,299.9363
1496.1108,,,304.2092
1496.2632,,,307.1493
1496.4156,,,307.463
1496.568,,,304.9541
1496.7204,,,303.8137
1496.8728,,,303.974
1497.0252,,,302.994
1497.1776,,,304.7972
1497.33,,,302.9547
1497.4824,,,300.0004
1497.6348,,,298.3682
1497.7872,,,297.8585
1497.9396,,,300.093
1498.092,,,304.1166
1498.2444,,,305.4637
1498.3968,,,305.0324
1498.5492,,,302.8764
1498.7016,,,300.3924
1498.854,,,299.5834
1499.0064,,,300.7202
1499.1588,,,304.17
1499.3112,,,306.9534
1499.4636,,,306.8606
1499.616,,,307.6197
1499.7684,,,305.9341
1499.9208,,,303.3681
1500.0732,,,303.493
1500.2256,,,304.366
1500.378,,,305.2089
1500.5304,,,306.3974
1500.6828,,,306.0517
1500.8352,,,307.2527
1500.9876,,,305.6205
1501.14,,,303.8671
1501.2924,,,303.6996
1501.4448,,,304.4195
1501.5972,,,304.4248
1501.7496,,,304.8115
1501.902,,,306.1301
1502.0544,,,305.9875
1502.2068,,,304.4836
1502.3592,,,301.3724
1502.5116,,,300.6418
1502.664,,,303.9028
1502.8164,,,305.8949
1502.9688,,,305.6669
1503.1212,,,305.7185
1503.2736,,,304.6155
1503.426,,,303.1187
1503.5784,,,305.738
1503.7308,,,308.4822
1503.8832,,,305.845
1504.0356,,,300.9269
1504.188,,,301.0143
1504.3404,,,304.473
1504.4928,,,307.463
1504.6452,,,307.3062
1504.7976,,,303.6711
1504.95,,,302.9547
1505.1024,,,302.6198
1505.2548,,,302.5627
1505.4072,,,302.7623
1505.5596,,,303.4644
1505.712,,,303.7388
1505.8644,,,304.5443
1506.0168,,,304.3072
1506.1692,,,302.8763
1506.3216,,,304.0916
1506.474,,,305.4529
1506.6264,,,307.6786
1506.7788,,,305.8753
1506.9312,,,303.9028
1507.0836,,,304.7581
1507.236,,,305.1305
1507.3884,,,305.2088
1507.5408,,,305.6312
1507.6932,,,303.7584
1507.8456,,,302.4772
1507.998,,,301.1515
1508.1504,,,301.3083
1508.3028,,,302.691
1508.4552,,,302.8763
1508.6076,,,301.3474
1508.76,,,302.299
1508.9124,,,302.6803
1509.0648,,,302.4843
1509.2172,,,300.1786
1509.3696,,,300.1127
1509.522,,,301.2299
1509.6744,,,301.907
1509.8268,,,302.1208
1509.9792,,,302.4843
1510.1316,,,302.8763
1510.284,,,303.3147
1510.4364,,,304.8757
1510.5888,,,305.3995
1510.7412,,,304.562
1510.8936,,,306.237
1511.046,,,308.4235
1511.1984,,,308.7495
1511.3508,,,307.0318
1511.5032,,,301.9783
1511.6556,,,301.9748
1511.808,,,304.4053
1511.9604,,,308.8742
1512.1128,,,308.9455
1512.2652,,,305.0324
1512.4176,,,303.3325
1512.57,,,302.0923
1512.7224,,,301.8571
1512.8748,,,304.4053
1513.0272,,,304.9184
1513.1796,,,306.0517
1513.332,,,305.9733
1513.4844,,,302.8372
1513.6368,,,302.1707
1513.7892,,,305.3817
1513.9416,,,309.0703
1514.094,,,307.4237
1514.2464,,,304.5229
1514.3988,,,303.7192
