STRUKTUR,WELL_NAME,DEPTH,GR,NPHI,RHOB,RT,MARKER,ZONE,CALI,DT,HLLD,HLLS,LLS,MSFL,PEF,RHOZ,RXOZ,SP,DRHO
GNK,GNK-056,504.444,,-9.9925,-999.25,,,,,,,,,,,,,,
GNK,GNK-056,504.5964,,-9.9925,-999.25,,,,,,,,,,,,,,
GNK,GNK-056,504.7488,,-9.9925,-999.25,,,,,,,,,,,,,,
GNK,GNK-056,504.9012,,-9.9925,-999.25,,,,,,,,,,,,,,
GNK,GNK-056,505.0536,,-9.9925,-999.25,,,,,,,,,,,,,,
GNK,GNK-056,505.206,,-9.9925,-999.25,,,,,,,,,,,,,,
GNK,GNK-056,505.3584,,-9.9925,-999.25,-983.4677,,,,,,,,,,,,,
GNK,GNK-056,505.5108,,-9.9925,-999.25,0.2949,,,,,,,,,,,,,
GNK,GNK-056,505.6632,,-9.9925,-999.25,0.3866,,,,,,,,,,,,,
GNK,GNK-056,505.8156,,-9.9925,-999.25,1.17,,,,,,,,,,,,,
GNK,GNK-056,505.968,,-9.9925,-999.25,1.3532,,,,,,,,,,,,,
GNK,GNK-056,506.1204,,-9.9925,-999.25,1.2148,,,,,,,,,,,,,
GNK,GNK-056,506.2728,,-9.9925,-999.25,1.0352,,,,,,,,,,,,,
GNK,GNK-056,506.4252,,-9.9925,-999.25,1.0644,,,,,,,,,,,,,
GNK,GNK-056,506.5776,,-9.9925,-999.25,1.0991,,,,,,,,,,,,,
GNK,GNK-056,506.73,,-9.9925,-999.25,1.1244,,,,,,,,,,,,,
GNK,GNK-056,506.8824,,-9.9925,-999.25,1.1508,,,,,,,,,,,,,
GNK,GNK-056,507.0348,,-9.9925,-999.25,1.1771,,,,,,,,,,,,,
GNK,GNK-056,507.1872,,-9.9925,-999.25,1.2,,,,,,,,,,,,,
GNK,GNK-056,507.3396,,-9.9925,-999.25,1.2427,,,,,,,,,,,,,
GNK,GNK-056,507.492,,-9.9925,-999.25,1.2427,,,,,,,,,,,,,
GNK,GNK-056,507.6444,,-9.9925,-999.25,1.243,,,,,,,,,,,,,
GNK,GNK-056,507.7968,,-9.9925,-999.25,1.2487,,,,,,,,,,,,,
GNK,GNK-056,507.9492,,-9.9925,-999.25,1.2541,,,,,,,,,,,,,
GNK,GNK-056,508.1016,,-9.9925,-999.25,1.254,,,,,,,,,,,,,
GNK,GNK-056,508.254,,-9.9925,-999.25,1.2556,,,,,,,,,,,,,
GNK,GNK-056,508.4064,,-9.9925,-999.25,1.2765,,,,,,,,,,,,,
GNK,GNK-056,508.5588,,-9.9925,-999.25,1.2607,,,,,,,,,,,,,
GNK,GNK-056,508.7112,,-9.9925,-999.25,1.1922,,,,,,,,,,,,,
GNK,GNK-056,508.8636,,-9.9925,-999.25,1.1281,,,,,,,,,,,,,
GNK,GNK-056,509.016,,-9.9925,-999.25,1.1937,,,,,,,,,,,,,
GNK,GNK-056,509.1684,,-9.9925,-999.25,1.268,,,,,,,,,,,,,
GNK,GNK-056,509.3208,,-9.9925,-999.25,1.4411,,,,,,,,,,,,,
GNK,GNK-056,509.4732,,-9.9925,-999.25,1.6273,,,,,,,,,,,,,
GNK,GNK-056,509.6256,,-9.9925,-999.25,1.8809,,,,,,,,,,,,,
GNK,GNK-056,509.778,,-9.9925,-999.25,2.2474,,,,,,,,,,,,,
GNK,GNK-056,509.9304,,-9.9925,-999.25,2.1499,,,,,,,,,,,,,
GNK,GNK-056,510.0828,,-9.9925,-999.25,2.0877,,,,,,,,,,,,,
GNK,GNK-056,510.2352,,-9.9925,-999.25,2.0045,,,,,,,,,,,,,
GNK,GNK-056,510.3876,,-9.9925,-999.25,2.024,,,,,,,,,,,,,
GNK,GNK-056,510.54,,-9.9925,-999.25,2.0523,,,,,,,,,,,,,
GNK,GNK-056,510.6924,,-9.9925,-999.25,2.0755,,,,,,,,,,,,,
GNK,GNK-056,510.8448,,-9.9925,-999.25,2.0483,,,,,,,,,,,,,
GNK,GNK-056,510.9972,,-9.9925,-999.25,1.9682,,,,,,,,,,,,,
GNK,GNK-056,511.1496,,-9.9925,-999.25,1.9864,,,,,,,,,,,,,
GNK,GNK-056,511.302,,-9.9925,-999.25,2.0047,,,,,,,,,,,,,
GNK,GNK-056,511.4544,,-9.9925,-999.25,2.0232,,,,,,,,,,,,,
GNK,GNK-056,511.6068,,-9.9925,-999.25,2.042,,,,,,,,,,,,,
GNK,GNK-056,511.7592,,-9.9925,-999.25,2.0537,,,,,,,,,,,,,
GNK,GNK-056,511.9116,,-9.9925,-999.25,2.0164,,,,,,,,,,,,,
GNK,GNK-056,512.064,,-9.9925,-999.25,1.977,,,,,,,,,,,,,
GNK,GNK-056,512.2164,,-9.9925,-999.25,1.9208,,,,,,,,,,,,,
GNK,GNK-056,512.3688,,-9.9925,-999.25,1.8628,,,,,,,,,,,,,
GNK,GNK-056,512.5212,,-9.9925,-999.25,1.8817,,,,,,,,,,,,,
GNK,GNK-056,512.6736,,-9.9925,-999.25,1.9112,,,,,,,,,,,,,
GNK,GNK-056,512.826,,-9.9925,-999.25,1.9407,,,,,,,,,,,,,
GNK,GNK-056,512.9784,,-9.9925,-999.25,1.9658,,,,,,,,,,,,,
GNK,GNK-056,513.1308,,-9.9925,-999.25,1.963,,,,,,,,,,,,,
GNK,GNK-056,513.2832,,-9.9925,-999.25,1.9423,,,,,,,,,,,,,
GNK,GNK-056,513.4356,,-9.9925,-999.25,1.9206,,,,,,,,,,,,,
GNK,GNK-056,513.588,,-9.9925,-999.25,1.9656,,,,,,,,,,,,,
GNK,GNK-056,513.7404,,-9.9925,-999.25,1.9627,,,,,,,,,,,,,
GNK,GNK-056,513.8928,,-9.9925,-999.25,1.9448,,,,,,,,,,,,,
GNK,GNK-056,514.0452,,-9.9925,-999.25,1.9185,,,,,,,,,,,,,
GNK,GNK-056,514.1976,,-9.9925,-999.25,1.8499,,,,,,,,,,,,,
GNK,GNK-056,514.35,,-9.9925,-999.25,1.7931,,,,,,,,,,,,,
GNK,GNK-056,514.5024,,-9.9925,-999.25,1.7959,,,,,,,,,,,,,
GNK,GNK-056,514.6548,,-9.9925,-999.25,1.8186,,,,,,,,,,,,,
GNK,GNK-056,514.8072,,-9.9925,-999.25,1.87,,,,,,,,,,,,,
GNK,GNK-056,514.9596,,-9.9925,-999.25,1.9184,,,,,,,,,,,,,
GNK,GNK-056,515.112,,-9.9925,-999.25,1.9041,,,,,,,,,,,,,
GNK,GNK-056,515.2644,,-9.9925,-999.25,1.6791,,,,,,,,,,,,,
GNK,GNK-056,515.4168,,-9.9925,-999.25,1.5233,,,,,,,,,,,,,
GNK,GNK-056,515.5692,,-9.9925,-999.25,1.5115,,,,,,,,,,,,,
GNK,GNK-056,515.7216,,-9.9925,-999.25,1.6914,,,,,,,,,,,,,
GNK,GNK-056,515.874,,-9.9925,-999.25,1.8807,,,,,,,,,,,,,
GNK,GNK-056,516.0264,,-9.9925,-999.25,1.9652,,,,,,,,,,,,,
GNK,GNK-056,516.1788,,-9.9925,-999.25,1.9269,,,,,,,,,,,,,
GNK,GNK-056,516.3312,,-9.9925,-999.25,1.7797,,,,,,,,,,,,,
GNK,GNK-056,516.4836,,-9.9925,-999.25,1.8033,,,,,,,,,,,,,
GNK,GNK-056,516.636,,-9.9925,-999.25,1.8542,,,,,,,,,,,,,
GNK,GNK-056,516.7884,,-9.9925,-999.25,1.9037,,,,,,,,,,,,,
GNK,GNK-056,516.9408,,-9.9925,-999.25,1.9483,,,,,,,,,,,,,
GNK,GNK-056,517.0932,,-9.9925,-999.25,1.9832,,,,,,,,,,,,,
GNK,GNK-056,517.2456,,-9.9925,-999.25,1.9635,,,,,,,,,,,,,
GNK,GNK-056,517.398,,-9.9925,-999.25,1.8134,,,,,,,,,,,,,
GNK,GNK-056,517.5504,,-9.9925,-999.25,1.4973,,,,,,,,,,,,,
GNK,GNK-056,517.7028,,-9.9925,-999.25,1.3852,,,,,,,,,,,,,
GNK,GNK-056,517.8552,,-9.9925,-999.25,1.5713,,,,,,,,,,,,,
GNK,GNK-056,518.0076,,-9.9925,-999.25,2.1815,,,,,,,,,,,,,
GNK,GNK-056,518.16,,-9.9925,-999.25,2.5824,,,,,,,,,,,,,
