DEPTH,STRUKTUR,WELL_NAME,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,RESERVOIR_CLASS,PHIE_DEN.1,PHIT_DEN.1,GR_MovingAvg_5,GR_MovingAvg_10,PHIE_DEN.2,PHIT_DEN.2,IQUAL,RGBE,R_RGBE,RPBE,R_RPBE,RW_TEMP,SW,RWA_FULL,RWA_SIMPLE,RWA_TAR,SWE_INDO,GR_RAW,GR_RAW_NORM,VSH_DN,VSH_DIFF,A,M,N,RTSH,RW,RWA,R0,RTR0,GROUP_ID,RT_R0_GRAD_x,PHIE_RTR0_GRAD_x,FLUID_RTROPHIE_x,RT_R0_GRAD_y,PHIE_RTR0_GRAD_y,FLUID_RTROPHIE_y
1450.086,ABAB,ABB-035,10.545,-19.012,12.4335,0.864,0.4832,2.073,GUF,74.41338028169014,0.0,0.0,2.073,0.4832,0.4300318022070374,0.4300318022070374,0.3,0.3,2.882561174737263,4,0.4300318022070374,0.4300318022070374,,,0.4300318022070374,0.4300318022070374,1,,,,,1.2951379310344828,1.0,0.07776,0.07776,0.07776,1.0,,74.41338028169014,0.5634484483093934,-0.5634484483093934,1,1.8,1.8,1,1,0.0989309093373031,8.733367617740253,-7.869367617740253,1,-0.4523469200045991,-48.45479513828828,W,-0.4523469200045991,-48.45479513828828,W
1450.2384,ABAB,ABB-035,10.424,-18.851,12.0518,0.865,0.5451,2.058,GUF,73.87577464788731,0.0,0.0,2.058,0.5451,0.4663322473101643,0.4663322473101643,0.3,0.3,2.9825068962240686,4,0.4663322473101643,0.4663322473101643,,,0.4663322473101643,0.4663322473101643,1,,,,,1.2951379310344828,1.0,0.0778499999999999,0.0778499999999999,0.0778499999999999,1.0,,73.87577464788731,0.6996700747367539,-0.6996700747367539,1,1.8,1.8,1,1,0.0990454127045916,8.733367617740253,-7.868367617740253,1,-0.4523469200045991,-48.45479513828828,W,-0.4523469200045991,-48.45479513828828,W
1450.3908,ABAB,ABB-035,10.303,-18.689,12.215,0.866,0.5588,2.046,GUF,74.1056338028169,0.0,0.0,2.046,0.5588,0.4768074991536697,0.4768074991536697,0.3,0.3,2.999264129948273,4,0.4768074991536697,0.4768074991536697,12.30098,,0.4768074991536697,0.4768074991536697,1,,,,,1.2951379310344828,1.0,0.07794,0.07794,0.07794,1.0,,74.1056338028169,0.7193287583696824,-0.7193287583696824,1,1.8,1.8,1,1,0.0991599160718802,8.733367617740253,-7.867367617740253,1,-0.4523469200045991,-48.45479513828828,W,-0.4523469200045991,-48.45479513828828,W
1450.5432,ABAB,ABB-035,10.831,-18.864,12.3402,0.881,0.5726,2.015,GUF,74.28197183098591,0.0,0.0,2.015,0.5726,0.4926794831412544,0.4926794831412544,0.3,0.3,3.0007075729653745,4,0.4926794831412544,0.4926794831412544,12.55622,,0.4926794831412544,0.4926794831412544,1,,,,,1.2951379310344828,1.0,0.07929,0.07929,0.07929,1.0,,74.28197183098591,0.7162739977217791,-0.7162739977217791,1,1.8,1.8,1,1,0.1008774665812083,8.733367617740253,-7.852367617740253,1,-0.4523469200045991,-48.45479513828828,W,-0.4523469200045991,-48.45479513828828,W
1450.6956,ABAB,ABB-035,11.318,-19.038,12.4644,0.896,0.5799,1.971,GUF,74.4569014084507,0.0,0.0,1.971,0.5799,0.5088401002454718,0.5088401002454718,0.3,0.3,2.976952924058512,4,0.5088401002454718,0.5088401002454718,13.136840000000001,,0.5088401002454718,0.5088401002454718,1,,,,,1.2951379310344828,1.0,0.0806399999999999,0.0806399999999999,0.0806399999999999,1.0,,74.4569014084507,0.6812998360792376,-0.6812998360792376,1,1.8,1.8,1,1,0.1025950170905365,8.733367617740253,-7.837367617740253,1,-0.4523469200045991,-48.45479513828828,W,-0.4523469200045991,-48.45479513828828,W
1450.848,ABAB,ABB-035,11.42,-19.165,13.7097,0.911,0.5873,1.942,GUF,76.21084507042252,0.0,0.0,1.942,0.5873,0.520834416623356,0.520834416623356,0.3,0.3,2.965917487983582,4,0.520834416623356,0.520834416623356,13.079060000000002,12.10775,0.520834416623356,0.520834416623356,1,,,,,1.2951379310344828,1.0,0.08199,0.08199,0.08199,1.0,,76.21084507042252,0.6647035534687303,-0.6647035534687303,1,1.8,1.8,1,1,0.1043125675998647,8.733367617740253,-7.822367617740253,1,-0.4523469200045991,-48.45479513828828,W,-0.4523469200045991,-48.45479513828828,W
1451.0004,ABAB,ABB-035,10.628,-19.292,14.9549,0.932,0.5644,1.949,GUF,77.96464788732393,0.0,0.0,1.949,0.5644,0.5069909281096071,0.5069909281096071,0.3,0.3,2.924913868950031,4,0.5069909281096071,0.5069909281096071,12.671479999999999,11.226780000000002,0.5069909281096071,0.5069909281096071,1,,,,,1.2951379310344828,1.0,0.08388,0.08388,0.08388,1.0,,77.96464788732393,0.6160614563942992,-0.6160614563942992,1,1.8,1.8,1,1,0.1067171383129242,8.733367617740253,-7.801367617740253,1,-0.4523469200045991,-48.45479513828828,W,-0.4523469200045991,-48.45479513828828,W
1451.1528,ABAB,ABB-035,10.618,-20.029,11.9261,0.953,0.5327,1.956,GUF,73.69873239436619,0.0,0.0,1.956,0.5327,0.488582762309302,0.488582762309302,0.3,0.3,2.8693151687980114,4,0.488582762309302,0.488582762309302,11.91452,10.1777,0.488582762309302,0.488582762309302,1,,,,,1.2951379310344828,1.0,0.0857699999999999,0.0857699999999999,0.0857699999999999,1.0,,73.69873239436619,0.5454762037062759,-0.5454762037062759,1,1.8,1.8,1,1,0.1091217090259836,8.733367617740253,-7.780367617740253,1,-0.4523469200045991,-48.45479513828828,W,-0.4523469200045991,-48.45479513828828,W
1451.3052,ABAB,ABB-035,10.274,-20.767,10.3023,0.975,0.5083,1.968,GUF,71.41169014084507,0.0,0.0,1.968,0.5083,0.4725526186032366,0.4725526186032366,0.3,0.3,2.835254158313545,4,0.4725526186032366,0.4725526186032366,9.897340000000002,8.906020000000002,0.4725526186032366,0.4725526186032366,1,,,,,1.2951379310344828,1.0,0.0877499999999999,0.0877499999999999,0.0877499999999999,1.0,,71.41169014084507,0.4991366376795486,-0.4991366376795486,1,1.8,1.8,1,1,0.1116407831063316,8.733367617740253,-7.758367617740253,1,-0.4523469200045991,-48.45479513828828,W,-0.4523469200045991,-48.45479513828828,W
1451.4576,ABAB,ABB-035,9.549,-21.56,8.6796,1.03,0.4606,1.991,GUF,69.12619718309858,0.0,0.0,1.991,0.4606,0.4413336815866286,0.4413336815866286,0.3,0.3,2.773867454215728,4,0.4413336815866286,0.4413336815866286,7.218560000000001,7.642840000000001,0.4413336815866286,0.4413336815866286,1,,,,,1.2951379310344828,1.0,0.0926999999999999,0.0926999999999999,0.0926999999999999,1.0,,69.12619718309858,0.4079918317450616,-0.4079918317450616,1,1.8,1.8,1,1,0.1179384683072016,8.733367617740253,-7.703367617740253,1,-0.4523469200045991,-48.45479513828828,W,-0.4523469200045991,-48.45479513828828,W
