STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,SWARRAY_1,SWARRAY_2,SWARRAY_3,SWARRAY_4,SWARRAY_5,SWARRAY_6,SWARRAY_7,SWARRAY_8,SWARRAY_9,SWARRAY_10,SWARRAY_11,SWARRAY_12,SWARRAY_13,SWARRAY_14,SWARRAY_15,SWARRAY_16,SWARRAY_17,SWARRAY_18,SWARRAY_19,SWARRAY_20,SWARRAY_21,SWARRAY_22,SWARRAY_23,SWARRAY_24,SWARRAY_25,SWGRAD,CT,FTEMP,IQUAL,RGBE,R_RGBE,RPBE,R_RPBE,RW_TEMP,SW
ABAB,ABB-051,1371.7524,,-20.2575,72.275,0.805,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.2422360248447204,143.58762000000002,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1371.9048,,-20.6529,72.275,0.804,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.243781094527363,143.59524,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1372.0572,,-20.4962,72.275,0.804,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.243781094527363,143.60286000000002,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1372.2096,,-20.3405,72.275,0.794,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.2594458438287153,143.61048,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1372.362,,-20.1839,72.275,0.784,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.2755102040816326,143.61810000000003,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1372.5144,,-19.9942,72.275,0.774,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.2919896640826871,143.62572,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1372.6668,,-19.8056,72.275,0.766,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.3054830287206267,143.63334,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1372.8192,,-19.6159,72.275,0.759,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.3175230566534917,143.64096,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1372.9716,,-19.4272,72.275,0.752,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.3297872340425532,143.64858,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1373.124,,-19.2376,72.275,0.744,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.3440860215053765,143.6562,1,,,,,1.2951379310344828,1.0
