STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_RAW,GR_NORM,GR_RAW_NORM
ABAB,ABB-135,1371.6,9.168,,49.985,1.26,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1371.7524,9.138,,49.985,1.24,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1371.9048,9.108,,49.985,1.222,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1372.0572,9.078,,49.985,1.203,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1372.2096,9.048,-0.9701,49.985,1.185,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1372.362,9.027,-0.9871,49.985,1.167,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1372.5144,9.007,-1.0041,49.985,1.156,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1372.6668,8.987,-1.021,49.985,1.145,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1372.8192,8.967,-1.038,49.985,1.135,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1372.9716,8.947,-1.055,49.985,1.125,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1373.124,8.955,-1.0719,49.985,1.114,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1373.2764,8.963,-1.0889,49.985,1.104,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1373.4288,8.971,-1.1479,49.985,1.094,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1373.5812,8.979,-1.2068,49.985,1.088,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1373.7336,8.985,-1.2668,49.985,1.081,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1373.886,8.991,-1.3258,49.985,1.075,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1374.0384,8.998,-1.3858,49.985,1.069,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1374.1908,9.004,-1.4447,49.985,1.062,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1374.3432,9.01,-1.5037,49.985,1.056,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1374.4956,9.016,-1.5637,49.985,1.05,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1374.648,8.997,-1.6226,49.985,1.044,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1374.8004,8.977,-1.6826,49.985,1.042,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1374.9528,8.958,-1.7396,49.985,1.04,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1375.1052,8.939,-1.7965,49.985,1.038,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1375.2576,8.919,-1.8535,49.985,1.036,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1375.41,8.917,-1.9115,49.985,1.034,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1375.5624,8.914,-1.9684,49.985,1.032,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1375.7148,8.911,-2.0254,49.985,1.018,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1375.8672,8.839,-2.0824,49.985,1.004,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1376.0196,8.766,-2.1393,49.985,0.99,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1376.172,8.693,-2.1973,49.985,0.976,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1376.3244,8.655,-2.2543,49.985,0.952,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1376.4768,8.618,-2.3113,49.985,0.929,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1376.6292,8.592,-2.3012,49.985,0.906,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1376.7816,8.565,-2.2902,49.985,0.884,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1376.934,8.538,-2.2792,49.985,0.862,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1377.0864,8.512,-2.2691,49.985,0.841,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1377.2388,8.467,-2.2591,49.985,0.843,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1377.3912,8.423,-2.2481,49.985,0.846,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1377.5436,8.379,-2.237,49.985,0.849,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1377.696,8.365,-2.227,49.985,0.851,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1377.8484,8.351,-2.216,49.985,0.889,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1378.0008,8.337,-2.2059,49.985,0.929,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1378.1532,8.323,-2.2399,49.985,0.971,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1378.3056,8.36,-2.2749,49.985,1.033,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1378.458,8.396,-2.3098,49.985,1.099,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1378.6104,8.432,-2.3448,49.985,1.169,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1378.7628,8.472,-2.3788,49.985,1.267,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1378.9152,8.512,-2.4137,49.985,1.373,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1379.0676,8.552,-2.4487,49.985,1.449,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1379.22,8.592,-2.4827,49.985,1.529,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1379.3724,8.577,-2.6477,49.985,1.559,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1379.5248,8.561,-2.8136,49.985,1.59,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1379.6772,8.546,-2.9786,49.985,1.622,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1379.8296,8.476,-3.1436,49.985,1.602,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1379.982,8.405,-3.3095,49.985,1.583,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1380.1344,8.377,-3.4745,49.985,1.564,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1380.2868,8.349,-3.6395,49.985,1.545,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1380.4392,8.32,-3.7014,49.985,1.521,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1380.5916,8.362,-3.7644,49.985,1.497,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1380.744,8.404,-3.8264,49.985,1.474,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1380.8964,8.446,-3.8883,49.985,1.451,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1381.0488,8.429,-3.9513,49.985,1.458,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1381.2012,8.412,-4.0133,49.985,1.464,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1381.3536,8.394,-4.0752,49.985,1.47,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1381.506,8.364,-4.0112,49.985,1.477,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1381.6584,8.334,-3.9472,49.985,1.517,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1381.8108,8.304,-3.8832,49.985,1.558,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1381.9632,8.274,-3.8181,49.985,1.601,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1382.1156,8.277,-3.7541,49.985,1.597,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1382.268,8.281,-3.6901,49.985,1.593,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1382.4204,8.284,-3.626,49.985,1.589,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1382.5728,8.319,-3.562,49.985,1.585,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1382.7252,8.354,-3.6,49.985,1.531,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1382.8776,8.389,-3.6389,49.985,1.48,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1383.03,8.424,-3.6779,49.985,1.431,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1383.1824,8.473,-3.7159,49.985,1.384,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1383.3348,8.523,-3.7548,49.985,1.339,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1383.4872,8.573,-3.7938,49.985,1.296,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1383.6396,8.568,-3.8328,49.985,1.263,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1383.792,8.563,-3.8357,49.985,1.232,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1383.9444,8.599,-3.8397,49.985,1.201,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1384.0968,8.635,-3.8427,49.985,1.171,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1384.2492,8.671,-3.8467,49.985,1.155,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1384.4016,8.73,-3.8506,49.985,1.14,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1384.554,8.79,-3.8536,49.985,1.124,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1384.7064,8.766,-3.8576,49.985,1.109,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1384.8588,8.742,-3.7075,49.985,1.106,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1385.0112,8.656,-3.5575,49.985,1.103,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
