STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,VSH_DN,VSH_GR
ABAB,ABB-137,1371.7524,9.443,-8.354,79.753,1.066,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1371.9048,9.452,-8.248,79.753,1.059,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1372.0572,9.447,-8.142,79.753,1.052,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1372.2096,9.448,-8.031,79.753,1.045,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1372.362,9.448,-7.919,79.753,1.039,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1372.5144,9.453,-7.808,79.753,1.04,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1372.6668,9.458,-7.696,79.753,1.042,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1372.8192,9.464,-7.585,79.753,1.043,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1372.9716,9.476,-7.473,79.753,1.044,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1373.124,9.489,-7.363,79.753,1.046,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1373.2764,9.502,-7.253,79.753,1.042,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1373.4288,9.515,-7.143,79.753,1.039,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1373.5812,9.528,-7.033,79.753,1.035,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1373.7336,9.542,-6.924,79.753,1.031,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1373.886,9.556,-6.814,79.753,1.026,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1374.0384,9.569,-6.704,79.753,1.02,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1374.1908,9.585,-6.594,79.753,1.015,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
