STRUKTUR,WELL_NAME,DEPTH,GR,NPHI,RHOB,RT,MARKER,ZONE,CALI,DT,HLLD,HLLS,LLS,MSFL,PEF,RHOZ,RXOZ,SP,DRHO
BNG,BNG-057,549.8592,56.6078,0.7325,4.270020000000001,0.0123,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,550.0116,56.6078,0.7948,3.6540999000000003,0.0125,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,550.164,66.7032,0.67392,2.83648,0.014,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,550.3164,75.0618,0.60076,2.30771,0.0571,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,550.4688,78.6674,0.57049,2.0504202,0.2552,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,550.6212,78.4217,0.58481,1.9973200999999998,0.4627,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,550.7736,79.2575,0.5901,2.00783,0.7126,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,550.926,79.1755,0.57178,2.00221,0.9377,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,551.0784,75.9959,0.52163,2.01159,1.1088,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,551.2308,74.996,0.50388,2.0271201000000003,1.2424,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,551.3832,75.2583,0.53029,2.0524199,1.0617,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,551.5356,77.1266,0.60968,2.0831599,0.7954,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,551.688,78.1265,0.595,2.13371,0.7887,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,551.8404,80.3227,0.54953,2.1703701,0.8267,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,551.9928,84.5839,0.47941,2.1786301,0.8424,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,552.1452,82.0598,0.49425,2.1585,0.8452,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,552.2976,81.2403,0.48406,2.1551001000000003,0.9175,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,552.45,79.9783,0.50754,2.1571702,1.0131,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,552.6024,82.8139,0.52897,2.17951,1.1187,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,552.7548,86.0918,0.50099,2.1990700999999997,1.3265,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,552.9072,89.6482,0.46995,2.2231199,1.5849,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,553.0596,90.2382,0.44357,2.2238200999999997,1.7634,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,553.212,91.2214,0.46375,2.2113699,1.7112,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,553.3644,88.5664,0.46334,2.1918098,1.7162,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,553.5168,87.6486,0.49936,2.18079,1.7677,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,553.6692,86.6652,0.51926,2.1443801,1.8935,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,553.8216,89.1567,0.59519,2.0546802,1.8922,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,553.974,89.1731,0.61227,1.94164,1.5227,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,554.1264,85.7315,0.71989,1.89267,1.5334,TOP MEF,,,,,,,,,,,,
BNG,BNG-057,554.2788,82.6989,0.59295,1.95186,1.5576,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,554.4312,80.3878,0.60653,2.05796,1.597,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,554.5836,81.8628,0.49304,2.1292600000000004,1.6355,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,554.736,80.0602,0.51781,2.14955,1.5613,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,554.8884,79.8962,0.49393,2.1306100999999997,1.6231,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,555.0408,78.749,0.49879,2.0933298,1.6132,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,555.1932,77.3069,0.46065,2.0416998,1.6284,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,555.3456,81.2404,0.50615,1.97573,1.4884,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,555.498,82.3875,0.47118,1.92951,1.2114,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,555.6504,85.9931,0.47736,1.92225,1.4206,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,555.8028,82.2237,0.58171,1.9516300000000002,1.3402,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,555.9552,81.4043,0.69801,1.99447,1.2782,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,556.1076,81.2239,0.62685,2.0225,1.2962,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,556.26,85.649,0.50643,2.0606301,1.3246,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,556.4124,85.9439,0.56021,2.0991698999999997,1.2808,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,556.5648,83.3874,0.52411,2.11104,1.4731,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,556.7172,79.6505,0.5079,2.0860801,1.2676,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,556.8696,79.6838,0.44319,2.0585999000000004,1.3774,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,557.022,78.2745,0.49396,2.0634202,1.3473,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,557.1744,79.0611,0.45131,2.0784499999999997,1.5023,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,557.3268,75.9633,0.48471,2.08004,1.4665,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,557.4792,73.4391,0.52562,2.0955601,1.3966,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,557.6316,75.5699,0.60869,2.1047002000000004,1.4828,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,557.784,81.8794,0.54197,2.1151899,1.4255,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,557.9364,89.5823,0.49917,2.0864202,1.4002,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,558.0888,91.3525,0.53969,2.0706401,1.4227,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,558.2412,90.271,0.63019,2.0700100000000003,1.3775,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,558.3936,88.8776,0.57459,2.05348,1.434,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,558.546,87.4354,0.50882,1.99945,1.2909,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,558.6984,86.5336,0.49313,1.9498900000000001,1.279,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,558.8508,87.4356,0.48472,1.9910600999999999,1.3956,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,559.0032,87.4352,0.51643,2.0698599,1.3225,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,559.1556,85.6329,0.52651,2.1190100000000003,1.3165,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,559.308,85.9603,0.52721,2.1021899,1.3754,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,559.4604,86.1405,0.52699,2.08448,1.3509,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,559.6128,88.0252,0.58254,2.0790701,1.3236,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,559.7652,95.0889,0.64,2.0936999999999997,1.4101,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,559.9176,96.3839,0.71345,2.11071,1.5004,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,560.07,93.7779,0.65463,2.1119899999999996,1.4675,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,560.2224,87.2057,0.5831,2.1082899999999998,1.3258,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,560.3748,86.4516,0.47867,2.10901,1.3239,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,560.5272,87.0909,0.47995,2.0782102,1.3065,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,560.6796,81.7649,0.59842,2.0181702,1.2066,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,560.832,76.2909,0.69563,1.95022,1.18,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,560.9844,74.9308,0.63925,1.9559199,1.2225,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,561.1368,72.8821,0.47993,1.9806300000000001,1.2229,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,561.2892,77.1434,0.48598,2.02617,1.2686,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,561.4416,78.405,0.55852,2.0508101,1.3198,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,561.594,86.9273,0.87595,2.0622800000000003,1.2847,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,561.7464,87.9107,0.69227,2.0632998,1.2101,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,561.8988,89.3204,0.55832,2.05977,1.2237,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,562.0512,88.0747,0.58269,2.0635801000000003,1.2063,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,562.2036,87.2551,0.67041,2.0606401,1.2209,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,562.356,83.4854,0.72501,2.03612,1.2631,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,562.5084,79.8799,0.61943,2.0150001,1.1779,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,562.6608,79.8801,0.53039,2.0249301,1.2238,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,562.8132,83.6496,0.52989,2.0638999,1.2599,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,562.9656,87.0258,0.50856,2.0947199999999997,1.265,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,563.118,84.8955,0.53742,2.1036300999999997,1.37,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,563.2704,85.8295,0.54921,2.10925,1.4583,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,563.4228,82.224,0.53001,2.12822,1.5584,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,563.5752,83.0432,0.54321,2.15204,1.6247,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,563.7276,84.2397,0.52589,2.1345601000000003,1.5187,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,563.88,86.0916,0.56413,2.0809099,1.4434,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,564.0324,87.7304,0.57888,2.0412,1.4668,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,564.1848,86.7473,0.56798,2.04529,1.6779,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,564.3372,86.698,0.51501,2.08225,1.6813,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,564.4896,87.419,0.47399,2.0788701,1.4426,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,564.642,87.7467,0.44007,2.0536999999999996,1.3602,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,564.7944,90.5329,0.4947,2.02908,1.31,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,564.9468,90.8934,0.63667,2.0459199,1.3126,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,565.0992,87.9432,0.70449,2.08054,1.295,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,565.2516,88.9265,0.55553,2.1075999000000003,1.336,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,565.404,86.534,0.4867,2.1031301,1.3673,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,565.5564,90.3856,0.52678,2.11698,1.4432,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,565.7088,86.4852,0.57404,2.1374899999999997,1.5524,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,565.8612,87.3043,0.53896,2.1215,1.5481,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,566.0136,87.2224,0.47718,2.0809499999999996,1.5057,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,566.166,87.7632,0.45611,2.05096,1.5787,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,566.3184,90.2216,0.4645,2.0796699,1.6586,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,566.4708,90.3034,0.4975,2.1322997999999997,1.7268,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,566.6232,95.3021,0.48788,2.1631601999999996,1.7127,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,566.7756,94.4828,0.46707,2.178,1.6624,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,566.928,93.9089,0.46749,2.1663301,1.6303,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,567.0804,90.172,0.4765,2.1574399,1.5838,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,567.2328,91.1554,0.57627,2.1392399999999996,1.5428,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,567.3852,87.4029,0.55051,2.1100901,1.5583,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,567.5376,86.7147,0.5079,2.09095,1.5146,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,567.69,84.043,0.44588,2.0896699,1.4564,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,567.8424,84.0267,0.41319,2.1126001000000003,1.4307,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,567.9948,85.1736,0.44271,2.14703,1.4852,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,568.1472,88.0091,0.44778,2.1752800000000003,1.5751,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,568.2996,88.3857,0.43032,2.19329,1.4908,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,568.452,85.7635,0.4483,2.1784202,1.539,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,568.6044,79.2079,0.44012,2.1151599,1.5451,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,568.7568,77.5854,0.43337,2.01336,1.5009,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,568.9092,78.5691,0.45084,1.95839,1.5815,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,569.0616,82.1747,0.49578,1.9718699999999998,1.6824,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,569.214,81.7815,0.5409,2.02421,1.6685,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,569.3664,85.1246,0.50616,2.0641898999999997,1.4119,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,569.5188,84.141,0.53653,2.0763298,1.2334,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,569.6712,86.7635,0.6285,2.0599102,1.1187,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,569.8236,83.1581,0.63045,2.0406001000000002,1.0913,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,569.976,83.6498,0.69748,2.0474401,1.1026,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,570.1284,82.0107,0.64176,2.07429,1.1084,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,570.2808,80.2078,0.58195,2.08647,1.1125,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,570.4332,83.8133,0.49373,2.08096,1.114,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,570.5856,83.8132,0.48667,2.09328,1.1156,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,570.738,86.0422,0.5154,2.0919299000000002,1.1495,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,570.8904,90.1396,0.55127,2.0709899999999997,1.2198,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,571.0428,89.3203,0.59098,2.0337,1.181,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,571.1952,88.6646,0.53,2.0371899,1.1503,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,571.3476,84.2397,0.52911,2.08325,1.2321,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,571.5,86.0916,0.50973,2.1483201,1.2868,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,571.6524,87.5665,0.51175,2.2,1.456,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,571.8048,83.4693,0.51306,2.2148699,1.5975,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,571.9572,85.223,0.47911,2.2230999000000002,1.6405,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,572.1096,84.2398,0.46162,2.2271498999999997,1.9288,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,572.262,79.4868,0.39918,2.2407,2.4872,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,572.4144,70.6366,0.37153,2.2191300999999997,3.3032,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,572.5668,69.3256,0.43572,2.09328,2.331,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,572.7192,72.2757,0.54037,1.9420800999999999,1.4864,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,572.8716,77.848,0.775,1.86488,1.2787,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,573.024,79.3229,0.75032,1.9121400000000002,1.3094,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,573.1764,81.4534,0.57617,2.00228,1.3398,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,573.3288,89.1564,0.49282,2.0616702,1.3901,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,573.4812,90.3035,0.4644,2.07451,1.4642,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,573.6336,92.4831,0.50652,2.0476,1.2809,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,573.786,87.73,0.48878,2.02079,1.3053,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,573.9384,90.0247,0.48658,2.0415299,1.3286,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,574.0908,92.1062,0.46847,2.07025,1.4185,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,574.2432,97.0229,0.48445,2.04209,1.4162,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,574.3956,97.5146,0.42639,2.0063401,1.4006,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,574.548,95.8755,0.45135,2.0120599,1.4219,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,574.7004,90.6313,0.49141,2.0554099,1.4363,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,574.8528,90.1397,0.55383,2.07545,1.4243,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,575.0052,92.7623,0.63458,2.0985,1.4268,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,575.1576,91.1232,0.59235,2.1046099,1.3769,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,575.31,88.3372,0.60675,2.0789299,1.3885,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,575.4624,83.4203,0.52841,2.0329001,1.3888,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,575.6148,85.387,0.56799,2.0211001,1.4108,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,575.7672,86.5339,0.54863,2.0520300000000002,1.3913,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,575.9196,85.862,0.54015,2.0845797999999998,1.4069,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,576.072,83.8953,0.53195,2.08305,1.3748,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,576.2244,83.7315,0.53308,2.0859302,1.3404,TOP ABF,,,,,,,,,,,,
BNG,BNG-057,576.3768,83.371,0.54047,2.1011201,1.3537,TOP ABF,,,,,,,,,,,,
