DEPTH,ALCDLC,ALDD,DGDD,DGRCC,R09PC,R15PC,R27PC,R39PC,ROPA,TNDD,TNPL,TNPS,ALCDLC_TR,ALDD_TR,DGDD_TR,DGRCC_TR,R09PC_TR,R15PC_TR,R27PC_TR,R39PC_TR,ROPA_TR,TNDD_TR,TNPL_TR,TNPS_TR,ALCDLC_TR_TR,ALDD_TR_TR,DGDD_TR_TR,DGRCC_TR_TR,R09PC_TR_TR,R15PC_TR_TR,R27PC_TR_TR,R39PC_TR_TR,ROPA_TR_TR,TNDD_TR_TR,TNPL_TR_TR,TNPS_TR_TR,MISSING_FLAG
1535.1252,2.4606,115.791,8.6777,137.2687,1.4648,0.7297,1.2698,2.8109,408.7535,11.1826,0.161309,0.19639,,,,,,,,,,,,,,,,,,,,,,,,,1
1535.2776,2.2339,86.9549,10.2083,128.7834,1.8797,1.1775,1.8782,3.194,430.0049,8.7457,0.172306,0.208186,,,,,,,,,,,,,,,,,,,,,,,,,1
1535.43,2.1371,58.1188,11.7389,98.8315,2.0818,1.6253,2.4866,3.3788,451.2563,6.3087,0.179635,0.219982,,,,,,,,,,,,,,,,,,,,,,,,,1
1535.5824,2.1424,39.1501,13.3972,85.2627,2.2473,1.9349,2.7989,3.1393,468.4772,6.8798,0.191012,0.256333,,,,,,,,,,,,,,,,,,,,,,,,,1
1535.7348,2.1424,28.5639,15.1639,78.235,2.3096,2.1272,2.8596,2.9782,482.2741,10.0063,0.229976,0.313544,,,,,,,,,,,,,,,,,,,,,,,,,1
1535.8872,2.1499,17.9777,16.9307,69.5484,2.2726,2.3194,2.9203,2.9271,496.071,13.1328,0.324041,0.370755,,,,,,,,,,,,,,,,,,,,,,,,,1
1536.0396,2.1731,9.72,17.5738,65.9779,2.2592,2.3658,2.9032,2.8319,486.7889,15.8753,0.392303,0.41801,,,,,,,,,,,,,,,,,,,,,,,,,1
1536.192,2.1078,8.0947,15.0159,65.0097,1.3204,1.9968,2.6648,2.2011,411.7667,17.5241,0.439172,0.436908,,,,,,,,,,,,,,,,,,,,,,,,,1
1536.3444,2.0648,6.4694,12.4581,67.1123,0.7873,1.6277,2.4264,1.7986,336.7444,19.1729,0.445318,0.455806,,,,,,,,,,,,,,,,,,,,,,,,,1
1536.4968,2.2569,4.8441,9.9002,90.7999,0.9454,1.2586,2.188,1.6208,261.7222,20.8217,0.426154,0.474703,,,,,,,,,,,,,,,,,,,,,,,,,1
1536.6492,2.2585,4.7912,9.352,103.4692,1.0352,1.1776,1.8919,1.4729,241.8704,18.6975,0.418626,0.458748,,,,,,,,,,,,,,,,,,,,,,,,,1
1536.8016,2.0097,4.7719,8.8469,93.9984,1.107,1.1026,1.5946,1.2951,223.202,16.4925,0.400952,0.442045,,,,,,,,,,,,,,,,,,,,,,,,,1
1536.954,2.1907,4.7527,8.3419,99.1426,1.1514,1.0277,1.2972,1.2165,204.5335,14.2874,0.381214,0.425342,,,,,,,,,,,,,,,,,,,,,,,,,1
1537.1064,2.3541,39.9674,8.5329,106.7753,1.1573,1.0291,1.209,1.2078,216.1898,11.7487,0.350981,0.403595,,,,,,,,,,,,,,,,,,,,,,,,,1
1537.2588,2.3809,90.4149,9.0248,114.1163,1.1596,1.0634,1.2112,1.1942,240.9564,9.0659,0.321565,0.379668,,,,,,,,,,,,,,,,,,,,,,,,,1
1537.4112,2.3961,140.8623,9.5168,99.6646,1.1586,1.0978,1.2133,1.1805,265.723,6.383,0.303807,0.355742,,,,,,,,,,,,,,,,,,,,,,,,,1
1537.5636,2.4001,177.5994,9.3545,104.0258,1.1579,1.1222,1.2118,1.177,280.9885,5.7547,0.292003,0.340185,,,,,,,,,,,,,,,,,,,,,,,,,1
1537.716,2.4062,195.1936,8.279,130.5027,1.1679,1.1328,1.205,1.1786,282.9883,7.9949,0.287881,0.336314,,,,,,,,,,,,,,,,,,,,,,,,,1
1537.8684,2.4084,212.7878,7.2035,137.7407,1.1736,1.1434,1.1982,1.1764,284.9882,10.2351,0.287572,0.332443,,,,,,,,,,,,,,,,,,,,,,,,,1
1538.0208,2.4049,219.266,6.1949,120.6513,1.1552,1.1526,1.1915,1.1669,287.2011,15.9153,0.287628,0.32925,,,,,,,,,,,,,,,,,,,,,,,,,1
1538.1732,2.4081,155.4139,5.6103,121.4296,1.15,1.1522,1.1847,1.1584,290.7619,43.3598,0.288529,0.330347,,,,,,,,,,,,,,,,,,,,,,,,,1
1538.3256,2.4163,91.5618,5.0257,126.1813,1.153,1.1519,1.178,1.1523,294.3228,70.8043,0.290913,0.331444,,,,,,,,,,,,,,,,,,,,,,,,,1
1538.478,2.4165,27.7097,4.4411,125.8191,1.1503,1.1515,1.1713,1.1501,297.8836,98.2488,0.291043,0.332542,,,,,,,,,,,,,,,,,,,,,,,,,1
1538.6304,2.4155,95.641,4.7289,165.5349,1.1487,1.1525,1.1697,1.1559,343.3271,143.7176,0.290755,0.332074,,,,,,,,,,,,,,,,,,,,,,,,,1
1538.7828,2.4172,185.8057,5.1639,136.0971,1.1613,1.1536,1.1691,1.1592,395.8369,192.2274,0.291346,0.331343,,,,,,,,,,,,,,,,,,,,,,,,,1
1538.9352,2.4243,275.9704,5.5988,167.0268,1.1685,1.1548,1.1684,1.1583,448.3465,240.7371,0.290643,0.330611,,,,,,,,,,,,,,,,,,,,,,,,,1
1539.0876,2.428,307.2069,9.1115,246.4216,1.156,1.1555,1.1685,1.1578,428.6507,225.9855,0.286146,0.329231,,,,,,,,,,,,,,,,,,,,,,,,,1
1539.24,2.4255,294.8528,14.9009,273.7031,1.1437,1.1559,1.1692,1.1573,355.5427,164.4378,0.283326,0.327372,,,,,,,,,,,,,,,,,,,,,,,,,1
1539.3924,2.4245,282.4986,20.6903,274.6634,1.1442,1.1563,1.1699,1.157,282.4346,102.8901,0.283191,0.325513,,,,,,,,,,,,,,,,,,,,,,,,,1
1539.5448,2.427,282.1747,23.777,181.8148,1.1434,1.1563,1.1703,1.1546,235.393,56.1155,0.283619,0.324003,,,,,,,,,,,,,,,,,,,,,,,,,1
1539.6972,2.4284,310.7452,20.3726,124.9485,1.1461,1.1552,1.17,1.1533,250.9575,44.8226,0.282716,0.323332,,,,,,,,,,,,,,,,,,,,,,,,,1
1539.8496,2.4244,339.3157,16.9682,101.3128,1.151,1.1541,1.1696,1.1518,266.522,33.5296,0.281717,0.322662,,,,,,,,,,,,,,,,,,,,,,,,,1
1540.002,2.419,23651694.0,13.5776,89.2244,1.1518,1.153,1.1693,1.1532,281.8478,22.342,0.281181,0.32202,,,,,,,,,,,,,,,,,,,,,,,,,1
