DEPTH,CALI,DT,GR_CAL,HDRA,PEFZ,RHOZ,RLA3,RLA5,RXOZ,SP,TENS,TNPH
549.8592,328.8192,,,,,,,,,,857.0627,
550.0116,327.1411,,,,,,,,,,857.2896,
550.164,325.4634,,,,,,,,,,850.9393,
550.3164,324.9038,,,,,,,,,,839.8264,
550.4688,332.1754,,,,,,,,,,841.1871,
550.6212,335.8109,,,,,,,,,,855.4752,
550.7736,333.294,,,,,,,,,,852.5269,
550.926,333.294,,,,,,,,,,836.4244,
551.0784,333.8533,367.1721,77.2581,138.38,6.3058,2010.87,1.6445,1.1088,1.8896,-479.275,850.9393,0.52509
551.2308,336.0905,370.312,75.291,133.87,6.5685,2026.01,1.7621,1.2309,1.8898,-472.8921,853.2073,0.50454
551.3832,336.6498,411.2264,75.6518,124.26,7.0279,2051.26,1.5247,1.0963,0.8848,-475.9034,850.9393,0.5303
551.5356,341.1245,451.8203,77.1266,112.51,7.4571,2082.4001,1.1323,0.7951,0.3594,-478.9562,851.6198,0.6097
551.688,419.9905,506.6719,78.1265,108.49,7.6672,2133.6501,1.1336,0.7887,0.2806,-483.5114,842.0942,0.59857
551.8404,475.3645,547.8105,80.3227,105.01,7.585,2171.03,1.1682,0.8267,0.3128,-489.6079,851.393,0.53229
551.9928,480.9579,560.8185,85.4853,98.43,7.4639,2178.8,1.2075,0.8361,0.461,-488.9688,856.8359,0.47812
552.1452,491.5853,543.9017,82.5187,91.29,7.3772,2156.5,1.2389,0.8426,0.4211,-487.4602,861.3719,0.49329
552.2976,489.0684,487.3521,81.6991,94.59,7.2831,2150.95,1.3077,0.9178,0.3888,-485.9886,856.6093,0.49367
552.45,500.2548,468.3847,79.5358,102.41,7.1905,2153.5498,1.3432,1.0143,0.3833,-485.0625,853.6608,0.50796
552.6024,487.3902,509.235,82.8139,113.88,7.1557,2177.6199,1.369,1.1194,0.4081,-485.15,858.6503,0.53037
552.7548,484.5936,513.4002,86.0918,118.14,7.2352,2199.04,1.4915,1.2977,0.4663,-485.7841,852.527,0.501
552.9072,492.1446,484.9171,89.6971,116.7,7.4139,2221.3999,1.6909,1.5841,0.5535,-487.0284,834.8367,0.47389
553.0596,358.1842,460.3428,90.5167,106.16,7.7038,2222.97,1.7892,1.7628,0.7084,-487.0057,855.9288,0.44757
553.212,344.4807,446.2455,91.4999,94.88,8.0458,2210.8801,1.6675,1.711,0.6896,-485.3563,849.8053,0.46782
553.3644,346.7179,444.8678,88.796,86.86,8.3514,2192.8401,1.5139,1.7158,0.5512,-484.3636,859.1039,0.46406
553.5168,362.9386,449.4815,87.6486,85.87,8.5324,2181.1299,1.4631,1.7674,0.4911,-481.9886,848.6714,0.50064
553.6692,382.5151,445.1562,86.6652,87.5,8.6199,2147.1099,1.4894,1.8933,0.4837,-473.7375,845.4962,0.52074
553.8216,378.3203,461.7206,89.1897,79.21,8.6329,2063.8298,1.4542,1.8919,0.3075,-475.2273,839.8264,0.59521
