STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_SM
ABAB,ABB-064,1371.6,,-12.942,,1.082,0.1624,2.406,GUF,
ABAB,ABB-064,1371.7524,,-13.612,,1.097,0.1624,2.406,GUF,
ABAB,ABB-064,1371.9048,,-14.282,,1.113,0.1624,2.406,GUF,
ABAB,ABB-064,1372.0572,,-14.952,,1.128,0.1624,2.406,GUF,
ABAB,ABB-064,1372.2096,,-15.017,45.06,1.143,0.1624,2.406,GUF,
ABAB,ABB-064,1372.362,,-15.083,45.06,1.158,0.1624,2.406,GUF,
ABAB,ABB-064,1372.5144,,-14.285,45.06,1.173,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1372.6668,,-13.488,45.06,1.182,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1372.8192,,-12.691,45.06,1.19,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1372.9716,,-11.894,45.06,1.199,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1373.124,,-11.919,45.06,1.207,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1373.2764,,-12.741,45.06,1.215,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1373.4288,,-13.563,45.06,1.224,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1373.5812,,-14.385,45.06,1.219,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1373.7336,,-14.446,45.06,1.215,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1373.886,,-14.507,45.06,1.211,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1374.0384,,-14.866,45.06,1.206,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1374.1908,,-15.224,45.06,1.198,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1374.3432,,-15.582,45.06,1.189,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1374.4956,,-15.867,45.06,1.181,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1374.648,,-15.091,45.06,1.172,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1374.8004,,-14.316,45.06,1.163,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1374.9528,,-13.54,45.06,1.161,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1375.1052,,-12.765,45.06,1.16,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1375.2576,,-12.374,45.06,1.158,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1375.41,,-12.683,45.06,1.156,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1375.5624,,-12.992,45.06,1.159,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1375.7148,,-13.301,45.06,1.162,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1375.8672,,-13.61,45.06,1.165,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1376.0196,,-12.888,45.06,1.168,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1376.172,,-12.166,45.06,1.147,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1376.3244,,-11.864,45.06,1.127,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1376.4768,,-11.561,45.06,1.106,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1376.6292,,-11.258,45.06,1.086,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1376.7816,,-11.795,45.06,1.038,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1376.934,,-12.368,45.06,0.991,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1377.0864,,-12.94,45.06,0.978,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1377.2388,,-13.437,45.06,0.965,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1377.3912,,-13.934,45.06,0.953,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1377.5436,,-14.43,45.06,0.94,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1377.696,,-14.927,45.06,0.927,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1377.8484,,-14.739,45.06,0.915,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1378.0008,,-13.935,45.06,0.902,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1378.1532,,-13.131,45.06,0.933,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1378.3056,,-12.327,45.06,0.964,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1378.458,,-11.523,45.06,0.998,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1378.6104,,-10.72,45.06,1.033,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1378.7628,,-9.916,45.06,1.067,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1378.9152,,-9.758,45.06,1.102,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1379.0676,,-10.289,45.06,1.15,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1379.22,,-10.82,45.06,1.199,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1379.3724,,-11.351,45.06,1.247,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1379.5248,,-11.882,45.06,1.295,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1379.6772,,-11.146,45.06,1.271,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1379.8296,,-10.41,45.06,1.246,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1379.982,,-9.675,45.06,1.202,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1380.1344,,-9.507,45.06,1.158,0.1624,2.406,GUF,45.06
