STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_RAW,GR_NORM,GR_RAW_NORM,VSH_DN
ABAB,ABB-096,1373.124,,-12.092,63.623,1.552,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1373.2764,,-12.3841,63.623,1.492,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1373.4288,,-12.6751,63.623,1.433,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1373.5812,,-12.9671,63.623,1.373,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1373.7336,,-13.4911,63.623,1.314,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1373.886,,-14.0141,63.623,1.293,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1374.0384,,-14.5381,63.623,1.272,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1374.1908,,-15.0621,63.623,1.252,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1374.3432,,-15.0521,63.623,1.231,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1374.4956,,-15.0431,63.623,1.21,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1374.648,,-14.5272,63.623,1.189,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1374.8004,,-14.0112,63.623,1.168,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1374.9528,,-13.7032,63.623,1.17,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1375.1052,,-13.3952,63.623,1.173,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1375.2576,,-13.0872,63.623,1.175,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1375.41,,-12.7792,63.623,1.177,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1375.5624,,-12.4722,63.623,1.179,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
