STRUKTUR,WELL_NAME,DEPTH,GR,NPHI,RHOB,RT,MARKER,ZONE,CALI,DT,HLLD,HLLS,LLS,MSFL,PEF,RHOZ,RXOZ,SP,DRHO
BNG,BNG-049,699.9732,68.5318,,,,,,,,,,,,,,,,
BNG,BNG-049,700.1256,67.7168,,,,,,,,,,,,,,,,
BNG,BNG-049,700.278,63.892,,,,,,,,,,,,,,,,
BNG,BNG-049,700.4304,61.914,,,,,,,,,,,,,,,,
BNG,BNG-049,700.5828,62.6527,,,,,,,,,,,,,,,,
BNG,BNG-049,700.7352,63.776,,,,,,,,,,,,,,,,
BNG,BNG-049,700.8876,63.3688,,,,,,,,,,,,,,,,
BNG,BNG-049,701.04,63.944,,,,,,,,,,,,,,,,
BNG,BNG-049,701.1924,65.5022,,,,,,,,,,,,,,,,
BNG,BNG-049,701.3448,68.9008,,,,,,,,,,,,,,,,
BNG,BNG-049,701.4972,70.8963,,,,,,,,,,,,,,,,
BNG,BNG-049,701.6496,72.1065,,,,,,,,,,,,,,,,
BNG,BNG-049,701.802,72.4309,,,,,,,,,,,,,,,,
BNG,BNG-049,701.9544,76.1555,,,,,,,,,,,,,,,,
BNG,BNG-049,702.1068,78.153,,,,,,,,,,,,,,,,
BNG,BNG-049,702.2592,78.2858,,,,,,,,,,,,,,,,
BNG,BNG-049,702.4116,73.9869,,,,,,,,,,,,,,,,
BNG,BNG-049,702.564,69.3876,,,,,,,,,,,,,,,,
BNG,BNG-049,702.7164,65.0917,,,,,,,,,,,,,,,,
BNG,BNG-049,702.8688,65.136,,,,,,,,,,,,,,,,
BNG,BNG-049,703.0212,66.0074,,,,,,,,,,,,,,,,
BNG,BNG-049,703.1736,66.5044,,,,,,,,,,,,,,,,
BNG,BNG-049,703.326,64.8082,,,,,,,,,,,,,,,,
BNG,BNG-049,703.4784,65.4422,,,,,,,,,,,,,,,,
BNG,BNG-049,703.6308,67.6182,,,,,,,,,,,,,,,,
BNG,BNG-049,703.7832,66.4565,,,,,,,,,,,,,,,,
BNG,BNG-049,703.9356,62.8996,,,,,,,,,,,,,,,,
BNG,BNG-049,704.088,58.7114,,,,,,,,,,,,,,,,
BNG,BNG-049,704.2404,61.2863,,,,,,,,,,,,,,,,
BNG,BNG-049,704.3928,66.2946,,,,,,,,,,,,,,,,
BNG,BNG-049,704.5452,69.8269,,,,,,,,,,,,,,,,
BNG,BNG-049,704.6976,67.4116,,,,,,,,,,,,,,,,
BNG,BNG-049,704.85,67.7604,,,,,,,,,,,,,,,,
BNG,BNG-049,705.0024,69.3212,,,,,,,,,,,,,,,,
BNG,BNG-049,705.1548,70.5084,,,,,,,,,,,,,,,,
