STRUKTUR,WELL_NAME,DEPTH,GR,NPHI,RHOB,RT,MARKER,ZONE,CALI,DT,HLLD,HLLS,LLS,MSFL,PEF,RHOZ,RXOZ,SP,DRHO
GNK,GNK-069,489.8136,-999.25,-9.9925,-0.99925,0.2208,,,-999.25,,,,0.15,0.3687,-999.25,,,1.4863,-999.25
GNK,GNK-069,489.966,-999.1318,-9.9915,-0.9991498,0.2216,,,-999.1491,,,,0.1509,0.3695,-999.1498,,,1.4856,-999.15
GNK,GNK-069,490.1184,-999.0136,-9.9904,-0.9990496000000001,0.2225,,,-999.0482,,,,0.1519,0.3704,-999.0496,,,1.4848,-999.05
GNK,GNK-069,490.2708,-998.8954,-9.9894,-0.9989494,0.2234,,,-998.9473,,,,0.1528,0.3713,-998.9493,,,1.484,-998.9501
GNK,GNK-069,490.4232,-998.7772,-9.9884,-0.9988492,0.2243,,,-998.8464,,,,0.1537,0.3722,-998.8491,,,1.4832,-998.8502
GNK,GNK-069,490.5756,-998.659,-9.9874,-0.998749,0.2252,,,-998.7455,,,,0.1547,0.3731,-998.7488,,,1.4825,-998.7502
GNK,GNK-069,490.728,-998.5408,-9.9863,-0.9986488,0.2261,,,-998.6447,,,,0.1556,0.374,-998.6486,,,1.4817,-998.6502
GNK,GNK-069,490.8804,-998.4226,-9.9853,-0.9985486,0.227,,,-998.5437,,,,0.1565,0.3749,-998.5484,,,1.4809,-998.5503
GNK,GNK-069,491.0328,-998.3044,-9.9843,-0.9984484,0.2278,,,-998.4428,,,,0.1575,0.3757,-998.4482,,,1.4802,-998.4503
GNK,GNK-069,491.1852,-998.1862,-9.9833,-0.9983482,0.2287,,,-998.3419,,,,0.1584,0.3766,-998.348,,,1.4794,-998.3503
GNK,GNK-069,491.3376,-998.068,-9.9822,-0.998248,0.2296,,,-998.241,,,,0.1593,0.3775,-998.2477,,,1.4786,-998.2504
GNK,GNK-069,491.49,-997.9498,-9.9812,-0.9981477999999999,0.2305,,,-998.1401,,,,0.1603,0.3784,-998.1475,,,1.4779,-998.1505
GNK,GNK-069,491.6424,-997.8316,-9.9802,-0.9980476,0.2314,,,-998.0392,,,,0.1612,0.3793,-998.0472,,,1.4771,-998.0505
GNK,GNK-069,491.7948,-997.7134,-9.9792,-0.9979474,0.2323,,,-997.9384,,,,0.1621,0.3802,-997.947,,,1.4763,-997.9505
GNK,GNK-069,491.9472,-997.5952,-9.9781,-0.9978472,0.2331,,,-997.8375,,,,0.1631,0.3811,-997.8468,,,1.4755,-997.8505
GNK,GNK-069,492.0996,-997.477,-9.9771,-0.9977471,0.234,,,-997.7366,,,,0.164,0.3819,-997.7466,,,1.4748,-997.7506
GNK,GNK-069,492.252,-997.3588,-9.9761,-0.9976469,0.2349,,,-997.6357,,,,0.165,0.3828,-997.6463,,,1.474,-997.6506
GNK,GNK-069,492.4044,-997.2406,-9.9751,-0.9975466000000001,0.2358,,,-997.5348,,,,0.1659,0.3837,-997.5461,,,1.4732,-997.5507
GNK,GNK-069,492.5568,-997.1224,-9.974,-0.9974465,0.2367,,,-997.4339,,,,0.1668,0.3846,-997.4459,,,1.4725,-997.4507
GNK,GNK-069,492.7092,-997.0042,-9.973,-0.9973463,0.2376,,,-997.3329,,,,0.1678,0.3855,-997.3456,,,1.4717,-997.3508
GNK,GNK-069,492.8616,-996.886,-9.972,-0.997246,0.2385,,,-997.2321,,,,0.1687,0.3864,-997.2454,,,1.4709,-997.2508
GNK,GNK-069,493.014,-996.7678,-9.9709,-0.9971459,0.2393,,,-997.1312,,,,0.1696,0.3873,-997.1452,,,1.4702,-997.1508
GNK,GNK-069,493.1664,-996.6496,-9.9699,-0.9970457,0.2402,,,-997.0303,,,,0.1706,0.3881,-997.0449,,,1.4694,-997.0508
GNK,GNK-069,493.3188,-996.5314,-9.9689,-0.9969455,0.2411,,,-996.9294,,,,0.1715,0.389,-996.9447,,,1.4686,-996.9509
GNK,GNK-069,493.4712,-996.4132,-9.9679,-0.9968452999999999,0.242,,,-996.8285,,,,0.1724,0.3899,-996.8445,,,1.4678,-996.851
GNK,GNK-069,493.6236,-996.295,-9.9668,-0.9967450999999999,0.2429,,,-996.7276,,,,0.1734,0.3908,-996.7443,,,1.4671,-996.751
GNK,GNK-069,493.776,-996.1768,-9.9658,-0.9966449000000001,0.2438,,,-996.6267,,,,0.1743,0.3917,-996.644,,,1.4663,-996.651
GNK,GNK-069,493.9284,-996.0586,-9.9648,-0.9965447000000001,0.2446,,,-996.5258,,,,0.1752,0.3926,-996.5438,,,1.4655,-996.5511
GNK,GNK-069,494.0808,-995.9404,-9.9638,-0.9964445,0.2455,,,-996.4249,,,,0.1762,0.3935,-996.4435,,,1.4648,-996.4511
GNK,GNK-069,494.2332,-995.8222,-9.9627,-0.9963443,0.2464,,,-996.324,,,,0.1771,0.3943,-996.3433,,,1.464,-996.3511
GNK,GNK-069,494.3856,-995.704,-9.9617,-0.9962441,0.2473,,,-996.2231,,,,0.1781,0.3952,-996.2431,,,1.4632,-996.2512
GNK,GNK-069,494.538,-995.5858,-9.9607,-0.9961439000000001,0.2482,,,-996.1223,,,,0.179,0.3961,-996.1429,,,1.4625,-996.1512
